Party Name,Local seats,Party votes,Threshold: 0%,Threshold: 1%,Threshold: 2%,Threshold: 3%,Threshold: 4%,Threshold: 5%,
National Party,41,0.449293387347594,55,55,55,55,55,58,
Labour Party,21,0.339883799389738,41,42,42,42,42,43,
Green Party,0,0.0672248083440603,8,8,8,8,8,9,
ACT New Zealand,1,0.0364655974709179,4,5,5,5,5,5,
M?ori Party,5,0.0238764871622296,5,5,5,5,5,5,
Jim Anderton's Progressive,1,0.00905967245110609,1,1,1,1,1,1,
United Future,1,0.00874234293255127,1,1,1,1,1,1,
New Zealand�First Party,0,0.0406710666281094,5,5,5,5,5,0,
The Bill and Ben Party,0,0.00555156050202895,1,0,0,0,0,0,
Kiwi Party,0,0.0054402392596327,1,0,0,0,0,0,
Aotearoa Legalise Cannabis Party,0,0.00405832038850687,0,0,0,0,0,0,
New Zealand�Pacific Party,0,0.00368511698966888,0,0,0,0,0,0,
Family Party,0,0.00348721255874221,0,0,0,0,0,0,
Alliance,0,0.000814223186721977,0,0,0,0,0,0,
Democrats for Social Credit,0,0.000515233949481482,0,0,0,0,0,0,
Libertarianz,0,0.000501585368038264,0,0,0,0,0,0,
Workers Party,0,0.000397514934533726,0,0,0,0,0,0,
RAM - Residents Action Movement,0,0.000198330949096762,0,0,0,0,0,0,
The Republic of New Zealand Party,0,0.000133500187241477,0,0,0,0,0,0,
